805538315	431910191
748107907	589819595
985807972	813251596
957163231	173412600
594063558	677430299
752791154	870806090
566356815	380923172
359863550	77063903
178012388	666831500
236745235	462313620
630495617	295437907
301600044	273130678
20761723	868180545
528692874	766011190
799925100	534433767
360685090	217583117
3021946	898226121
858038491	439462677
689444136	499362742
941823034	652221363
255591063	132423628
911388053	864854015
552904671	383954037
637712369	797550756
489398330	710426636
840623100	421612113
591676970	690307263
656048362	394299132
192401601	370509222
149318224	456308196
773481885	161934782
441855639	968187178
670179444	382685363
723080189	565475515
512018159	800572497
82520549	429018573
976900151	564368200
541874793	856231513
436520601	504442099
971531110	513113810
729446377	468159824
962697545	321336160
691417806	12554668
166624586	348401736
579860887	189669980
864635465	526004111
312760154	831392267
225608906	320298704
467955096	473733792
460757071	53945281
199307211	929870612
276207028	743400200
865158091	477711687
230049258	343768852
366651922	892105688
503425249	963825390
488517328	731333647
42101847	567938553
472102780	121916621
922075774	469729747
546889879	994608662
19569128	647791716
709220772	759364360
131015953	807528198
53267013	884733478
472196433	789503630
341169938	931373506
84273504	379647027
822262337	557387263
585076370	425820827
775309305	792007975
684697738	887415591
350078769	653782461
432317474	240701671
855763876	553832343
135595737	495951877
820514106	603105380
253876919	994510849
267745311	222663043
358329010	868046992
599158323	704444205
846329495	418789809
450272992	90139156
858487089	439041058
475203442	830485052
664292582	135211972
979775340	426890935
702388480	312105458
325765341	444636299
392270098	869186362
943740609	664109310
51210650	446208654
828353650	474313985
962694043	880245888
843392367	526773490
592959075	433861139
254802958	12732197
238281101	934015608
62971084	370991973
950051526	515298839
